Match_Id,Home_Away,Event_Minute,Event_Type
1,away,20,Goal
1,away,44,Yellow Card
1,home,58,Substitution
1,away,60,Yellow Card
1,home,64,Yellow Card
1,home,75,Substitution
1,away,83,Substitution
1,away,83,Substitution
1,away,85,Own Goal
1,home,86,Substitution
1,home,86,Substitution
1,away,93,Substitution
2,home,2,Goal
2,away,23,Yellow Card
2,home,39,Yellow Card
2,home,47,Yellow Card
2,away,48,Yellow Card
2,away,45,Substitution
2,away,66,Substitution
2,home,72,Substitution
2,home,73,Yellow Card
2,home,80,Goal
2,away,81,Substitution
2,away,82,Substitution
2,home,86,Substitution
2,away,93,Yellow Card
2,home,95,Substitution
3,home,18,Substitution
3,home,53,Yellow Card
3,away,54,label.penalty.scored
3,away,56,Yellow Card
3,home,61,Substitution
3,away,65,Substitution
3,away,65,Substitution
3,home,70,Substitution
3,away,75,Substitution
3,away,75,Substitution
3,home,80,Yellow Card
3,home,98,Yellow Card
3,away,99,Substitution
3,away,101,Yellow Card
4,home,17,Yellow Card
4,home,32,Goal
4,away,51,Substitution
4,away,51,Substitution
4,away,59,Substitution
4,away,64,Goal
4,home,66,Substitution
4,home,72,label.penalty.scored
4,away,78,Substitution
4,away,80,Goal
4,home,89,Substitution
4,home,90,Yellow Card
4,home,94,Substitution
5,away,6,Goal
5,home,20,Yellow Card
5,home,24,Goal
5,home,65,Substitution
5,home,73,Substitution
5,home,74,Own Goal
5,home,84,Substitution
5,home,84,Substitution
5,away,85,Substitution
5,home,93,Yellow Card
6,home,33,Goal
6,home,46,Goal
6,away,59,Substitution
6,away,59,Substitution
6,away,62,Goal
6,home,73,Substitution
6,away,73,Substitution
6,away,83,Substitution
6,away,83,Substitution
6,away,86,Goal
7,away,15,Yellow Card
7,away,23,Yellow Card
7,away,56,Yellow Card
7,home,58,Goal
7,away,63,Substitution
7,away,75,Substitution
7,home,78,Goal
7,home,80,Substitution
7,home,81,Substitution
7,away,83,Substitution
7,home,89,Substitution
7,home,90,Substitution
7,home,93,Substitution
8,away,12,Goal
8,home,21,Goal
8,home,24,Yellow Card
8,home,31,Goal
8,away,45,Substitution
8,away,45,Substitution
8,home,61,Own Goal
8,home,63,Goal
8,home,66,Substitution
8,away,72,Substitution
8,home,75,Yellow Card
8,away,75,Substitution
8,home,86,Substitution
8,home,86,Substitution
8,home,86,Substitution
8,home,87,Substitution
8,home,88,Yellow Card
8,away,92,Substitution
9,home,25,Yellow Card
9,away,30,Goal
9,away,39,Goal
9,home,47,Yellow Card
9,home,53,Yellow Card
9,home,53,Substitution
9,away,53,Yellow Card
9,home,68,Own Goal
9,home,74,Yellow Card
9,away,75,Substitution
9,away,76,Substitution
9,home,78,Substitution
9,home,90,Substitution
9,home,90,Substitution
9,home,90,Substitution
9,away,91,Substitution
9,away,95,Substitution
10,home,29,Substitution
10,away,36,label.penalty.scored
10,away,48,Yellow Card
10,home,57,Substitution
10,home,57,Substitution
10,away,65,Goal
10,away,78,Substitution
10,away,78,Substitution
10,away,88,Substitution
10,away,88,Substitution
10,away,89,Substitution
10,home,92,Substitution
10,home,92,Substitution
11,away,16,Yellow Card
11,home,23,Goal
11,home,35,Goal
11,away,53,Own Goal
11,home,55,Goal
11,away,63,Substitution
11,away,63,Substitution
11,away,70,Substitution
11,away,74,Goal
11,home,75,Goal
11,home,75,Substitution
11,home,77,Substitution
11,home,84,Substitution
11,home,84,Substitution
11,home,90,Yellow Card
12,home,29,Yellow Card
12,home,31,Goal
12,away,34,Substitution
12,away,43,Yellow Card
12,home,49,Yellow Card
12,home,60,Substitution
12,away,64,Substitution
12,home,75,Yellow Card
12,home,78,Substitution
12,away,81,Substitution
12,away,81,Substitution
12,home,86,Goal
12,away,87,Own Goal
12,home,94,Substitution
12,home,94,Substitution
12,home,95,Substitution
12,home,98,Yellow Card
13,home,10,Goal
13,away,16,Yellow Card
13,home,18,Goal
13,home,30,Goal
13,home,35,Goal
13,away,45,Substitution
13,away,45,Substitution
13,away,45,Substitution
13,away,60,Substitution
13,home,62,Substitution
13,home,73,Substitution
13,home,74,Substitution
13,home,80,Substitution
13,home,80,Substitution
13,away,82,Yellow Card
13,away,87,Substitution
13,away,89,Yellow Card
13,away,93,Yellow Card
14,away,22,Yellow Card
14,home,34,Yellow Card
14,home,58,Yellow Card
14,away,58,Yellow Card
14,home,65,Substitution
14,home,74,Substitution
14,home,75,Substitution
14,away,75,Substitution
14,away,76,Substitution
14,away,87,Substitution
14,away,93,Yellow Card
15,home,19,Goal
15,home,41,Yellow Card
15,away,57,Substitution
15,home,62,Yellow Card
15,away,68,Goal
15,home,73,Substitution
15,home,77,Goal
15,away,79,Substitution
15,away,79,Substitution
15,away,82,Substitution
15,home,84,Substitution
15,home,85,Substitution
15,home,86,Yellow Card
15,home,90,Substitution
15,away,96,Goal
16,away,32,Goal
16,home,40,Yellow Card
16,home,57,Red Card
16,away,57,Yellow Card
16,home,61,Goal
16,home,63,Substitution
16,home,63,Substitution
16,home,63,Substitution
16,away,63,Substitution
16,away,68,Yellow Card
16,home,79,Substitution
16,away,79,Substitution
16,away,79,Substitution
16,away,79,Substitution
16,away,88,Yellow Card
16,away,88,Substitution
16,away,91,Yellow Card
16,home,92,Yellow Card
17,away,5,Yellow Card
17,home,19,Goal
17,home,31,Goal
17,home,37,Goal
17,home,45,Substitution
17,away,57,Yellow Card
17,away,63,Substitution
17,away,63,Substitution
17,home,64,Substitution
17,home,65,Substitution
17,home,74,Substitution
17,home,79,Own Goal
17,away,80,Substitution
17,home,82,Substitution
17,away,90,Substitution
17,away,91,Yellow Card
18,away,9,Yellow Card
18,home,47,Goal
18,home,64,Yellow Card
18,away,68,Substitution
18,away,68,Substitution
18,home,72,Substitution
18,home,75,Yellow Card
18,home,79,Substitution
18,home,84,Substitution
18,away,85,Substitution
18,home,98,Yellow Card
18,home,98,Yellow Card
19,away,28,Substitution
19,away,43,Yellow Card
19,away,45,Yellow Card
19,away,46,Goal
19,away,60,Goal
19,home,61,Substitution
19,home,62,Substitution
19,home,70,Substitution
19,home,72,Goal
19,home,78,Yellow Card
19,home,81,Goal
19,away,84,Substitution
19,away,84,Substitution
19,away,88,Substitution
19,home,91,Substitution
19,away,93,Yellow Card
20,home,17,Yellow Card
20,home,36,Yellow Card
20,away,44,Yellow Card
20,away,50,Yellow Card
20,home,58,Substitution
20,home,78,Substitution
20,home,78,Substitution
20,away,83,Substitution
20,away,86,Substitution
20,away,92,Substitution
20,away,93,Substitution
20,home,95,Yellow Card
20,away,95,Yellow Card
21,away,5,Goal
21,away,11,Goal
21,home,27,Yellow Card
21,home,45,Substitution
21,home,45,Substitution
21,away,52,Yellow Card
21,away,54,Goal
21,home,60,Yellow Card
21,home,65,Substitution
21,away,74,Substitution
21,away,74,Substitution
21,away,75,Substitution
21,away,88,Substitution
21,away,88,Substitution
22,away,5,Goal
22,home,7,Goal
22,away,36,Yellow Card
22,home,39,Yellow Card
22,home,58,Goal
22,away,66,Substitution
22,home,70,Substitution
22,home,70,Substitution
22,home,71,Goal
22,away,73,Substitution
22,away,73,Substitution
22,home,75,Yellow Card
22,home,82,Substitution
22,home,82,Substitution
22,home,91,Substitution
23,away,20,Yellow Card
23,home,21,Yellow Card
23,away,29,Yellow Card
23,home,35,Yellow Card
23,away,55,Substitution
23,home,57,Substitution
23,home,57,Substitution
23,home,60,Yellow Card
23,away,61,Substitution
23,away,81,Goal
23,away,84,Substitution
23,home,88,Goal
24,home,1,Goal
24,home,20,Goal
24,home,29,Yellow Card
24,home,31,Yellow Card
24,away,44,Goal
24,away,56,Yellow Card
24,away,59,Substitution
24,away,60,Substitution
24,away,71,Goal
24,away,74,Substitution
24,home,77,Substitution
24,home,77,Substitution
24,away,80,Yellow Card
24,away,83,Substitution
24,home,90,Goal
24,home,92,Substitution
24,home,94,Yellow Card
25,away,9,Yellow Card
25,home,33,Goal
25,away,36,Yellow Card
25,home,37,Goal
25,home,61,Substitution
25,away,64,Substitution
25,away,64,Substitution
25,home,69,Goal
25,home,70,Substitution
25,away,77,Substitution
25,home,83,Substitution
25,home,83,Substitution
25,home,83,Substitution
25,away,84,Second Yellow Card (Red Card)
25,away,87,Substitution
26,home,54,Goal
26,away,59,Substitution
26,away,64,Yellow Card
26,home,65,Substitution
26,home,65,Substitution
26,away,68,Goal
26,away,70,Substitution
26,home,76,Yellow Card
26,home,76,Substitution
26,away,82,Yellow Card
26,away,84,Goal
26,away,88,Substitution
26,home,94,Yellow Card
26,away,94,Yellow Card
27,home,16,Goal
27,away,24,Yellow Card
27,home,27,Yellow Card
27,home,45,Yellow Card
27,home,45,Substitution
27,home,53,Goal
27,away,59,Substitution
27,home,71,Substitution
27,away,73,Substitution
27,home,74,Yellow Card
27,away,81,Goal
27,away,85,Substitution
27,home,86,Substitution
27,home,86,Substitution
27,home,86,Substitution
28,away,5,Goal
28,home,8,Yellow Card
28,away,18,Yellow Card
28,away,21,Substitution
28,home,28,Goal
28,home,34,Yellow Card
28,home,39,Goal
28,away,52,Yellow Card
28,home,54,Goal
28,away,61,Goal
28,away,64,Goal
28,home,70,Substitution
28,home,70,Substitution
28,home,76,Yellow Card
28,home,83,Substitution
28,home,92,Yellow Card
28,home,95,Substitution
29,home,11,Yellow Card
29,away,56,Yellow Card
29,away,58,Substitution
29,away,59,Substitution
29,home,64,Goal
29,home,67,Yellow Card
29,away,67,Yellow Card
29,away,71,Substitution
29,away,71,Substitution
29,home,76,Substitution
29,home,76,Substitution
29,away,81,Substitution
29,home,86,Substitution
30,home,20,Yellow Card
30,away,22,label.penalty.scored
30,home,62,Substitution
30,away,63,Substitution
30,away,66,Goal
30,home,71,Yellow Card
30,home,74,Substitution
30,home,75,Substitution
30,home,75,Substitution
30,away,85,Substitution
30,away,93,Substitution
31,home,36,Yellow Card
31,home,45,Yellow Card
31,away,45,Yellow Card
31,away,51,Yellow Card
31,away,56,Goal
31,home,61,Substitution
31,home,64,Goal
31,away,69,Substitution
31,away,70,Yellow Card
31,away,79,Substitution
31,away,79,Substitution
31,home,86,Goal
31,away,88,Substitution
31,away,88,Substitution
31,home,89,Substitution
31,home,95,Substitution
32,away,23,Substitution
32,away,45,Substitution
32,home,57,Yellow Card
32,away,65,Substitution
32,home,66,Substitution
32,home,66,Substitution
32,away,74,Goal
32,home,78,Substitution
32,home,79,Yellow Card
32,home,91,Substitution
33,away,24,Goal
33,home,55,Yellow Card
33,home,68,Substitution
33,home,68,Substitution
33,away,68,Substitution
33,home,69,Substitution
33,home,78,Substitution
33,away,78,Substitution
33,away,81,Yellow Card
33,home,84,Goal
33,away,86,Substitution
33,away,86,Substitution
33,home,92,Substitution
33,away,93,Yellow Card
33,home,95,Yellow Card
34,away,8,Yellow Card
34,away,34,Yellow Card
34,away,37,Yellow Card
34,away,59,Substitution
34,away,59,Substitution
34,home,66,Goal
34,home,70,Substitution
34,home,70,Substitution
34,away,74,Substitution
34,home,79,Substitution
34,home,79,Substitution
34,home,81,Yellow Card
34,away,82,Substitution
34,home,87,Yellow Card
34,home,88,Substitution
35,home,22,Yellow Card
35,home,28,Second Yellow Card (Red Card)
35,away,31,Yellow Card
35,away,40,Yellow Card
35,home,45,Substitution
35,home,47,Goal
35,away,55,Substitution
35,away,55,Substitution
35,home,63,Goal
35,away,66,Goal
35,home,75,Substitution
35,home,75,Substitution
35,away,89,Substitution
35,home,92,Substitution
35,home,93,Yellow Card
36,home,3,Goal
36,home,6,Goal
36,home,28,Goal
36,home,31,Goal
36,away,35,Yellow Card
36,home,45,Goal
36,home,45,Substitution
36,away,45,Substitution
36,away,45,Substitution
36,home,46,Own Goal
36,home,62,Goal
36,home,69,Substitution
36,home,69,Substitution
36,home,70,Substitution
36,away,77,Substitution
36,home,80,Goal
36,away,82,Substitution
36,away,82,Substitution
36,home,83,Substitution
36,home,85,Goal
37,away,4,Own Goal
37,away,21,Goal
37,home,53,Goal
37,away,57,Substitution
37,home,61,Substitution
37,home,61,Substitution
37,home,62,Goal
37,away,67,Substitution
37,home,70,Goal
37,away,74,Substitution
37,away,74,Substitution
37,home,81,Goal
37,home,84,Substitution
37,home,86,Yellow Card
37,away,86,Yellow Card
37,away,88,Yellow Card
37,home,89,Substitution
38,away,5,Goal
38,home,54,Yellow Card
38,home,58,Yellow Card
38,home,61,Yellow Card
38,home,69,Substitution
38,home,73,Yellow Card
38,away,74,Substitution
38,away,74,Substitution
38,home,75,Substitution
38,home,75,Substitution
38,home,75,Substitution
38,away,81,Goal
38,away,82,Yellow Card
38,away,83,Substitution
38,home,84,Yellow Card
38,home,85,Yellow Card
38,home,90,Substitution
38,away,91,Substitution
39,away,50,Yellow Card
39,away,55,Goal
39,home,63,Substitution
39,away,68,Substitution
39,home,77,Substitution
39,away,80,Substitution
39,away,83,Yellow Card
39,home,89,Substitution
39,home,89,Substitution
39,away,92,Substitution
39,away,96,Yellow Card
40,home,28,Yellow Card
40,home,38,Goal
40,away,46,Yellow Card
40,home,58,Yellow Card
40,away,65,Substitution
40,away,65,Substitution
40,home,83,Substitution
40,away,83,Substitution
40,home,84,Substitution
40,away,84,Substitution
40,away,90,Goal
40,home,98,Substitution
40,away,99,Substitution
41,away,13,Yellow Card
41,home,30,Goal
41,home,39,Yellow Card
41,home,48,Yellow Card
41,away,54,Yellow Card
41,home,65,Substitution
41,away,68,Yellow Card
41,away,73,Substitution
41,away,73,Substitution
41,away,74,Goal
41,home,77,Goal
41,home,81,Substitution
41,away,83,Substitution
41,home,88,Substitution
41,home,88,Substitution
42,away,60,Substitution
42,home,67,Yellow Card
42,home,69,Substitution
42,away,75,Substitution
42,away,75,Substitution
42,home,77,Substitution
42,home,86,Substitution
42,home,90,Yellow Card
42,away,90,Yellow Card
43,home,54,Substitution
43,home,59,Goal
43,away,68,Substitution
43,away,68,Substitution
43,away,68,Substitution
43,away,71,Yellow Card
43,home,76,Substitution
43,home,76,Substitution
43,away,79,Substitution
43,away,79,Substitution
43,home,80,Substitution
43,away,83,Yellow Card
43,away,88,Goal
43,home,95,Yellow Card
44,home,48,Goal
44,home,55,Own Goal
44,away,55,Yellow Card
44,away,60,label.penalty.scored
44,away,63,Substitution
44,away,63,Substitution
44,away,64,Substitution
44,home,68,Yellow Card
44,home,78,Substitution
44,away,79,Substitution
44,home,83,Yellow Card
44,home,91,Substitution
45,away,17,Goal
45,away,20,Yellow Card
45,home,32,Substitution
45,home,40,Yellow Card
45,home,55,Goal
45,home,57,Yellow Card
45,home,59,Yellow Card
45,away,60,Yellow Card
45,home,64,Substitution
45,away,67,Yellow Card
45,home,76,Substitution
45,home,76,Substitution
46,away,23,Goal
46,away,28,Yellow Card
46,away,43,Yellow Card
46,away,49,Yellow Card
46,away,59,Substitution
46,away,68,Substitution
46,home,76,Substitution
46,home,87,Yellow Card
46,home,87,Substitution
46,away,87,Substitution
47,away,21,Yellow Card
47,away,23,Yellow Card
47,away,34,Own Goal
47,home,55,Goal
47,home,67,Substitution
47,home,72,Substitution
47,away,76,Substitution
47,home,85,Substitution
47,away,86,Yellow Card
47,home,91,Yellow Card
47,home,91,Yellow Card
47,away,91,Yellow Card
47,away,93,Yellow Card
48,away,38,Goal
48,home,61,Goal
48,away,64,Substitution
48,away,64,Substitution
48,home,71,Substitution
48,home,71,Substitution
48,home,71,Substitution
48,away,84,Substitution
48,away,87,Yellow Card
48,away,90,Yellow Card
48,home,98,Goal
49,home,12,Goal
49,home,23,Goal
49,home,38,Goal
49,home,50,Goal
49,home,55,Substitution
49,home,55,Substitution
49,away,58,Substitution
49,away,58,Substitution
49,home,65,Goal
49,home,68,Substitution
49,home,69,Substitution
49,away,69,Substitution
49,away,69,Substitution
49,home,75,Substitution
49,away,76,Yellow Card
49,away,78,Substitution
49,home,87,Goal
50,away,23,Goal
50,home,28,Goal
50,home,46,Goal
50,away,45,Substitution
50,home,53,Yellow Card
50,home,60,Substitution
50,home,64,Yellow Card
50,away,66,Substitution
50,away,66,Substitution
50,away,66,Substitution
50,home,73,Substitution
50,away,80,Yellow Card
50,home,86,Substitution
51,home,26,Yellow Card
51,home,27,Substitution
51,away,50,Goal
51,home,65,Substitution
51,home,71,Yellow Card
51,away,73,Substitution
51,home,74,Goal
51,away,80,Substitution
51,home,91,Substitution
52,away,28,Yellow Card
52,home,30,label.penalty.scored
52,home,43,Goal
52,away,46,Goal
52,away,45,Substitution
52,home,58,Goal
52,home,59,Substitution
52,home,59,Substitution
52,away,59,Substitution
52,away,59,Substitution
52,home,67,Substitution
52,away,70,Substitution
52,away,79,Goal
52,home,80,Goal
52,home,83,Substitution
52,home,83,Substitution
52,away,86,Substitution
52,home,91,Goal
52,home,95,Yellow Card
52,home,97,Yellow Card
52,away,97,Yellow Card
53,away,1,Goal
53,away,4,Yellow Card
53,home,10,Own Goal
53,home,12,Yellow Card
53,home,15,Goal
53,away,33,Goal
53,away,45,Substitution
53,home,64,Goal
53,home,71,label.penalty.scored
53,away,72,Substitution
53,away,72,Substitution
53,away,72,Substitution
53,home,84,Substitution
53,home,89,Substitution
53,home,93,Substitution
53,home,93,Substitution
