Match_Id,match_date,attendance,home_team,away_team,home_team_goals,away_team_goals,home_team_goals_half_time,away_team_goals_half_time,45+,90+
1,13-08-2021,16479,Brentford,Arsenal,2,0,1,0,1,5
2,14-08-2021,16910,Burnley,Brighton,1,2,1,0,3,4
3,14-08-2021,38965,Chelsea,Crystal Palace,3,0,2,0,1,2
4,14-08-2021,38487,Everton,Southampton,3,1,0,1,1,3
5,14-08-2021,31983,Leicester,Wolves,1,0,1,0,2,3
6,14-08-2021,72732,Man Utd,Leeds,5,1,1,0,1,3
7,15-08-2021,50673,Newcastle,West Ham,2,4,2,1,2,4
8,14-08-2021,27023,Norwich,Liverpool,0,3,0,1,1,2
9,15-08-2021,58262,Spurs,Man City,1,0,0,0,1,4
10,14-08-2021,20051,Watford,Aston Villa,3,2,2,0,2,6
11,22-08-2021,58729,Arsenal,Chelsea,0,2,0,2,2,3
12,21-08-2021,41964,Aston Villa,Newcastle,2,0,1,0,3,6
13,21-08-2021,29485,Brighton,Watford,2,0,2,0,2,3
14,21-08-2021,23091,Crystal Palace,Brentford,0,0,0,0,3,4
15,21-08-2021,36293,Leeds,Everton,2,2,1,1,6,4
16,21-08-2021,52591,Liverpool,Burnley,2,0,1,0,2,4
17,21-08-2021,51437,Man City,Norwich,5,0,2,0,1,3
18,22-08-2021,29485,Southampton,Man Utd,1,1,1,0,2,5
19,23-08-2021,59901,West Ham,Leicester,4,1,1,0,4,3
20,22-08-2021,Ref: Stuart Attwell,Wolves,Spurs,0,1,0,1,5,3
21,28-08-2021,42045,Aston Villa,Brentford,1,1,1,1,1,8
22,28-08-2021,30548,Brighton,Everton,0,2,0,1,3,5
23,29-08-2021,18665,Burnley,Leeds,1,1,0,0,1,3
24,28-08-2021,,Liverpool,Chelsea,1,1,1,1,3,3
25,28-08-2021,52276,Man City,Arsenal,5,0,3,0,3,3
26,28-08-2021,44017,Newcastle,Southampton,2,2,0,0,1,3
27,28-08-2021,26765,Norwich,Leicester,1,2,1,1,5,5
28,29-08-2021,57672,Spurs,Watford,1,0,1,0,1,4
29,28-08-2021,Ref: Stuart Attwell,West Ham,Crystal Palace,2,2,1,0,2,4
30,29-08-2021,30621,Wolves,Man Utd,0,1,0,0,1,5
31,11-09-2021,59337,Arsenal,Norwich,1,0,0,0,1,4
32,11-09-2021,16518,Brentford,Brighton,0,1,0,0,4,4
33,11-09-2021,Ref: Stuart Attwell,Chelsea,Aston Villa,3,0,1,0,2,4
34,11-09-2021,22740,Crystal Palace,Spurs,3,0,0,0,1,3
35,13-09-2021,38354,Everton,Burnley,3,1,0,0,1,4
36,12-09-2021,36507,Leeds,Liverpool,0,3,0,1,2,8
37,11-09-2021,32087,Leicester,Man City,0,1,0,0,2,3
38,11-09-2021,72732,Man Utd,Newcastle,4,1,1,0,2,3
39,11-09-2021,,Southampton,West Ham,0,0,0,0,1,5
40,11-09-2021,20019,Watford,Wolves,0,2,0,0,1,4
41,18-09-2021,41888,Aston Villa,Everton,3,0,0,0,2,3
42,19-09-2021,Ref: Stuart Attwell,Brighton,Leicester,2,1,1,0,2,5
43,18-09-2021,21944,Burnley,Arsenal,0,1,0,1,2,4
44,18-09-2021,52985,Liverpool,Crystal Palace,3,0,1,0,1,3
45,18-09-2021,52698,Man City,Southampton,0,0,0,0,0,2
46,17-09-2021,50407,Newcastle,Leeds,1,1,1,1,3,4
47,18-09-2021,26649,Norwich,Watford,1,3,1,1,2,4
48,19-09-2021,60059,Spurs,Chelsea,0,3,0,0,2,4
49,19-09-2021,59958,West Ham,Man Utd,1,2,1,1,2,3
50,18-09-2021,29724,Wolves,Brentford,0,2,0,2,3,6
51,26-09-2021,59919,Arsenal,Spurs,3,1,3,0,2,5
52,25-09-2021,Ref: Stuart Attwell,Brentford,Liverpool,3,3,1,1,3,5
53,25-09-2021,40036,Chelsea,Man City,0,1,0,0,2,4
54,27-09-2021,22975,Crystal Palace,Brighton,1,1,1,0,1,5
55,25-09-2021,38821,Everton,Norwich,2,0,1,0,2,5
56,25-09-2021,36417,Leeds,West Ham,1,2,1,0,3,5
57,25-09-2021,31650,Leicester,Burnley,2,2,1,2,1,4
58,25-09-2021,72922,Man Utd,Aston Villa,0,1,0,0,4,5
59,26-09-2021,28002,Southampton,Wolves,0,1,0,0,1,6
60,25-09-2021,20650,Watford,Newcastle,1,1,0,1,4,4
61,02-10-2021,31266,Brighton,Arsenal,0,0,0,0,1,3
62,02-10-2021,17427,Burnley,Norwich,0,0,0,0,4,2
63,02-10-2021,40109,Chelsea,Southampton,3,1,1,0,3,5
64,03-10-2021,22445,Crystal Palace,Leicester,2,2,0,2,2,5
65,02-10-2021,36261,Leeds,Watford,1,0,1,0,2,4
66,03-10-2021,53102,Liverpool,Man City,2,2,0,0,1,4
67,02-10-2021,73128,Man Utd,Everton,1,1,1,0,2,4
68,03-10-2021,53076,Spurs,Aston Villa,2,1,1,0,1,5
69,03-10-2021,49940,West Ham,Brentford,1,2,0,1,0,5
70,02-10-2021,30483,Wolves,Newcastle,2,1,1,1,4,4
71,18-10-2021,59475,Arsenal,Crystal Palace,2,2,1,0,3,4
72,16-10-2021,41951,Aston Villa,Wolves,2,3,0,0,3,4
73,16-10-2021,16940,Brentford,Chelsea,0,1,0,1,2,4
74,17-10-2021,Ref: Stuart Attwell,Everton,West Ham,0,1,0,0,1,4
75,16-10-2021,32219,Leicester,Man Utd,4,2,1,1,3,5
76,16-10-2021,52711,Man City,Burnley,2,0,1,0,2,3
77,17-10-2021,52214,Newcastle,Spurs,2,3,1,3,7,4
78,16-10-2021,26777,Norwich,Brighton,0,0,0,0,3,3
79,16-10-2021,30506,Southampton,Leeds,1,0,0,0,1,5
80,16-10-2021,21085,Watford,Liverpool,0,5,0,2,0,1
81,22-10-2021,59496,Arsenal,Aston Villa,3,1,2,0,2,4
82,24-10-2021,16814,Brentford,Leicester,1,2,0,1,2,7
83,23-10-2021,31215,Brighton,Man City,1,4,0,3,2,5
84,23-10-2021,40113,Chelsea,Norwich,7,0,3,0,1,3
85,23-10-2021,24609,Crystal Palace,Newcastle,1,1,0,0,2,5
