Match_Id,Home_Away,Event_Minute,Event_Type
1,away,4,Goal
1,away,23,Substitution
1,away,36,Goal
1,home,61,Substitution
1,home,61,Substitution
1,home,74,Substitution
1,away,75,Goal
1,away,79,Substitution
1,away,79,Substitution
1,away,80,Substitution
1,home,91,Substitution
1,home,91,Substitution
1,home,94,Red Card
1,away,95,Substitution
2,home,26,Goal
2,away,28,Yellow Card
2,home,32,Goal
2,home,50,Yellow Card
2,home,50,Substitution
2,away,71,Substitution
2,away,72,Substitution
2,home,74,Substitution
2,away,80,Substitution
2,away,81,Yellow Card
2,away,82,Goal
2,home,86,Substitution
2,away,90,Substitution
2,away,90,Substitution
2,home,92,Yellow Card
3,away,39,Yellow Card
3,away,49,Yellow Card
3,away,51,Goal
3,home,60,Substitution
3,home,60,Substitution
3,home,67,Substitution
3,home,75,Substitution
3,home,75,Substitution
3,away,78,Substitution
3,home,82,Goal
3,away,86,Substitution
3,away,87,Yellow Card
3,away,94,Yellow Card
3,away,94,Substitution
3,home,97,Yellow Card
4,home,7,Yellow Card
4,home,36,Goal
4,home,43,Yellow Card
4,away,51,Yellow Card
4,away,59,Yellow Card
4,away,64,Substitution
4,away,64,Substitution
4,home,71,label.penalty.scored
4,home,74,Substitution
4,home,74,Substitution
4,away,76,Substitution
4,home,78,Substitution
4,home,79,Substitution
4,away,81,label.penalty.scored
4,home,85,Goal
4,home,88,Substitution
4,away,88,Substitution
4,away,88,Substitution
4,home,95,Goal
5,away,30,Yellow Card
5,away,45,Substitution
5,away,58,Substitution
5,away,58,Substitution
5,home,72,Substitution
5,away,73,Goal
5,home,83,Substitution
5,away,87,Yellow Card
6,home,6,Goal
6,away,6,Yellow Card
6,away,11,Goal
6,home,16,Goal
6,away,31,Substitution
6,away,32,Yellow Card
6,home,54,Yellow Card
6,away,54,Yellow Card
6,away,45,Substitution
6,away,48,Yellow Card
6,home,53,Yellow Card
6,home,58,Goal
6,away,64,Substitution
6,home,67,Yellow Card
6,home,68,Substitution
6,home,68,Substitution
6,home,77,Goal
6,home,85,Substitution
6,home,86,Substitution
6,away,87,Substitution
6,away,87,Substitution
6,home,91,Goal
6,home,92,Yellow Card
6,home,92,Substitution
7,home,16,Yellow Card
7,away,49,Goal
7,home,57,Yellow Card
7,home,80,Substitution
7,home,80,Substitution
7,home,80,Substitution
7,home,86,Yellow Card
7,home,87,Substitution
7,home,87,Substitution
7,away,92,Substitution
8,away,11,Goal
8,away,14,Substitution
8,away,26,Yellow Card
8,home,27,label.penalty.scored
8,home,36,Goal
8,away,36,Yellow Card
8,away,36,Yellow Card
8,away,44,Yellow Card
8,away,49,Goal
8,home,49,Substitution
8,home,62,Yellow Card
8,home,72,Substitution
8,home,72,Substitution
8,home,72,Substitution
8,away,75,Substitution
8,away,75,Substitution
8,home,84,Substitution
9,home,4,Yellow Card
9,away,18,Goal
9,home,32,Yellow Card
9,away,32,Yellow Card
9,home,37,Goal
9,away,66,Substitution
9,away,66,Substitution
9,away,68,Yellow Card
9,home,76,Substitution
9,away,77,Substitution
9,away,77,Substitution
9,home,81,Substitution
9,home,81,Substitution
9,home,85,Yellow Card
9,away,89,Yellow Card
9,home,90,Substitution
10,home,17,Yellow Card
10,away,27,Yellow Card
10,away,35,Yellow Card
10,home,44,Yellow Card
10,home,45,Substitution
10,away,63,Substitution
10,home,68,Substitution
10,home,68,Substitution
10,away,69,Yellow Card
10,home,76,Goal
10,home,77,Substitution
10,away,77,Substitution
10,away,77,Substitution
10,home,88,Substitution
10,away,88,Substitution
11,home,14,Yellow Card
11,home,18,Goal
11,home,24,label.penalty.scored
11,away,24,Yellow Card
11,home,33,Yellow Card
11,away,38,Substitution
11,away,49,Yellow Card
11,away,54,Yellow Card
11,away,45,Substitution
11,away,50,Substitution
11,home,51,Goal
11,home,63,Substitution
11,home,64,Substitution
11,home,64,Substitution
11,home,74,Substitution
11,home,75,Goal
11,home,85,Substitution
11,away,86,Yellow Card
11,home,89,Yellow Card
11,away,98,Substitution
12,home,27,Yellow Card
12,away,54,label.penalty.scored
12,away,60,Yellow Card
12,away,67,Second Yellow Card (Red Card)
12,away,70,Substitution
12,home,74,Substitution
12,away,79,Substitution
12,home,83,Substitution
12,away,89,Substitution
12,away,89,Substitution
12,home,91,Yellow Card
12,away,94,Yellow Card
13,away,41,Yellow Card
13,away,44,Goal
13,home,48,Yellow Card
13,away,61,Yellow Card
13,home,64,Yellow Card
13,home,64,Second Yellow Card (Red Card)
13,away,66,label.penalty.scored
13,home,67,Substitution
13,home,67,Substitution
13,home,67,Substitution
13,away,71,Substitution
13,away,78,Substitution
13,away,79,Substitution
13,away,79,Substitution
13,home,85,Yellow Card
13,home,86,Substitution
13,home,86,Substitution
13,away,89,Substitution
13,away,92,Goal
14,away,3,Goal
14,home,9,Yellow Card
14,away,16,Yellow Card
14,away,26,Yellow Card
14,home,28,Goal
14,away,35,Yellow Card
14,home,36,Goal
14,home,58,Red Card
14,home,62,Goal
14,home,62,Substitution
14,away,63,Substitution
14,away,63,Substitution
14,home,75,Substitution
14,home,76,Substitution
14,away,76,Substitution
14,away,76,Substitution
14,away,84,Substitution
14,home,86,Substitution
14,home,86,Substitution
15,home,21,Substitution
15,home,36,Yellow Card
15,away,47,Goal
15,home,59,Yellow Card
15,home,62,Substitution
15,away,66,Yellow Card
15,home,69,Substitution
15,away,74,Substitution
15,away,74,Substitution
15,away,80,Substitution
15,home,84,Goal
15,away,85,Goal
15,home,92,Yellow Card
15,home,93,Yellow Card
15,away,93,Substitution
15,away,94,Yellow Card
16,away,23,Yellow Card
16,home,31,Goal
16,away,34,Yellow Card
16,home,46,Yellow Card
16,away,53,Yellow Card
16,away,56,Substitution
16,away,56,Substitution
16,away,58,Yellow Card
16,away,66,Substitution
16,away,66,Substitution
16,away,71,Yellow Card
16,away,86,Substitution
17,home,3,Goal
17,home,36,Yellow Card
17,home,44,Yellow Card
17,away,47,Yellow Card
17,away,45,Substitution
17,away,48,Goal
17,away,58,Substitution
17,home,69,Substitution
17,home,69,Substitution
17,away,72,Yellow Card
17,away,74,Substitution
17,away,82,Substitution
17,home,84,Substitution
17,away,86,Yellow Card
17,home,89,Goal
17,home,91,Substitution
17,home,91,Substitution
18,away,33,Yellow Card
18,away,38,Yellow Card
18,away,39,Yellow Card
18,home,49,Goal
18,home,63,Yellow Card
18,away,66,Substitution
18,away,66,Substitution
18,away,66,Substitution
18,home,70,Substitution
18,home,70,Substitution
18,home,76,Substitution
18,home,83,Own Goal
18,away,85,Substitution
18,away,85,Substitution
18,home,88,Substitution
18,home,88,Substitution
19,home,7,Goal
19,home,13,Yellow Card
19,away,28,Goal
19,home,35,Yellow Card
19,away,36,Yellow Card
19,away,40,Yellow Card
19,home,45,Yellow Card
19,away,45,Substitution
19,home,53,Goal
19,away,61,Substitution
19,home,67,Second Yellow Card (Red Card)
19,home,69,Substitution
19,away,71,Yellow Card
19,away,75,Substitution
19,home,76,Substitution
19,home,81,Substitution
19,away,83,Substitution
19,home,95,label.penalty.scored
20,away,8,Yellow Card
20,away,15,Goal
20,home,17,Yellow Card
20,away,18,Yellow Card
20,away,19,Yellow Card
20,away,46,Goal
20,away,51,Goal
20,home,55,Substitution
20,away,55,Goal
20,home,56,Substitution
20,away,57,Substitution
20,away,57,Substitution
20,away,60,Yellow Card
20,home,61,Goal
20,home,63,Yellow Card
20,away,64,Yellow Card
20,away,67,Substitution
20,home,71,Substitution
20,home,76,Yellow Card
20,away,81,Substitution
20,away,81,Substitution
20,home,86,Substitution
20,home,88,Yellow Card
20,home,95,Second Yellow Card (Red Card)
20,away,95,Yellow Card
21,away,1,Goal
21,away,19,Yellow Card
21,home,45,Substitution
21,away,50,Yellow Card
21,home,56,Substitution
21,home,56,Substitution
21,away,63,Substitution
21,away,66,Yellow Card
21,home,70,label.penalty.scored
21,away,70,Substitution
21,away,71,Substitution
21,home,72,Goal
21,away,73,Yellow Card
21,away,83,Second Yellow Card (Red Card)
21,home,84,Substitution
21,away,87,Goal
21,away,89,Substitution
21,home,91,Substitution
21,away,100,Yellow Card
22,away,17,Goal
22,home,46,Yellow Card
22,home,45,Substitution
22,away,53,Yellow Card
22,away,54,Yellow Card
22,away,59,Substitution
22,home,60,Substitution
22,home,60,Substitution
22,away,60,Substitution
22,away,63,Goal
22,away,71,Yellow Card
22,home,73,Substitution
22,away,73,Substitution
22,away,74,Substitution
22,away,82,Substitution
22,home,86,Substitution
23,home,18,Goal
23,home,71,Substitution
23,away,71,Substitution
23,away,71,Substitution
23,away,76,Goal
23,home,80,Substitution
24,away,19,Goal
24,away,24,Yellow Card
24,away,39,Substitution
24,away,46,Yellow Card
24,away,58,Goal
24,home,60,Substitution
24,home,60,Substitution
24,away,63,Goal
24,home,72,Substitution
24,home,72,Substitution
24,away,79,Substitution
24,home,81,Goal
24,away,84,Substitution
24,away,85,Substitution
24,home,88,Yellow Card
24,away,89,Yellow Card
25,away,8,Goal
25,away,20,Goal
25,home,39,Yellow Card
25,home,48,Yellow Card
25,home,45,Substitution
25,home,47,Goal
25,away,61,Goal
25,home,68,Substitution
25,home,68,Substitution
25,away,73,Substitution
25,home,81,Substitution
25,home,81,Substitution
25,away,81,Substitution
25,away,86,Substitution
25,away,86,Substitution
26,home,17,Goal
26,away,27,Yellow Card
26,away,30,Yellow Card
26,home,68,Goal
26,away,70,Substitution
26,away,70,Substitution
26,home,73,Yellow Card
26,home,75,Goal
26,away,77,Substitution
26,away,77,Substitution
26,away,77,Substitution
26,away,78,Yellow Card
26,home,83,Substitution
26,home,86,Substitution
26,home,90,Yellow Card
26,home,92,Substitution
27,away,29,Yellow Card
27,away,40,Yellow Card
27,away,45,Substitution
27,away,51,Yellow Card
27,home,53,Yellow Card
27,home,62,Yellow Card
27,home,66,Substitution
27,away,68,Yellow Card
27,away,74,Substitution
27,away,85,Substitution
27,away,85,Substitution
27,away,87,Goal
27,home,90,Yellow Card
27,home,91,Substitution
27,home,91,Substitution
28,away,2,Goal
28,away,4,Goal
28,home,17,Goal
28,away,44,Yellow Card
28,away,47,Yellow Card
28,home,45,Substitution
28,home,52,Goal
28,away,57,Substitution
28,home,58,Yellow Card
28,home,60,Substitution
28,away,62,Yellow Card
28,away,67,Red Card
28,away,70,Substitution
28,home,76,label.penalty.scored
28,away,81,Substitution
28,away,81,Substitution
28,home,82,Yellow Card
28,home,85,Substitution
28,home,89,Yellow Card
28,home,96,Yellow Card
28,away,96,Yellow Card
29,away,6,Yellow Card
29,home,25,Goal
29,away,28,Red Card
29,away,33,Substitution
29,home,51,Yellow Card
29,away,58,Substitution
29,away,58,Substitution
29,home,72,Substitution
29,home,72,Substitution
29,home,72,Substitution
29,away,77,Substitution
29,away,77,Substitution
29,away,81,Goal
29,home,82,Substitution
29,away,85,Yellow Card
29,home,87,Substitution
29,away,93,Goal
30,home,17,Substitution
30,home,49,Yellow Card
30,home,59,Yellow Card
30,away,63,Goal
30,home,71,Substitution
30,home,71,Substitution
30,home,77,Yellow Card
30,home,80,Substitution
30,home,83,Yellow Card
30,home,85,Goal
30,away,86,Substitution
30,away,88,Goal
31,away,27,Goal
31,home,28,Goal
31,away,38,Yellow Card
31,home,40,Yellow Card
31,away,65,Yellow Card
31,away,67,Substitution
31,away,67,Substitution
31,away,68,Yellow Card
31,home,76,Substitution
31,home,76,Substitution
31,home,77,Substitution
31,away,84,Substitution
31,away,84,Substitution
31,home,89,Yellow Card
31,home,90,Substitution
31,home,96,Goal
31,home,99,Substitution
31,home,101,Goal
32,home,7,Goal
32,away,30,Goal
32,away,51,Yellow Card
32,away,60,Substitution
32,away,64,Yellow Card
32,home,69,Yellow Card
32,home,71,Substitution
32,home,71,Substitution
32,away,71,Substitution
32,away,77,Goal
32,home,81,Substitution
32,home,81,Substitution
32,home,82,Substitution
32,away,87,Substitution
32,home,93,Goal
33,away,23,Yellow Card
33,home,27,Goal
33,away,43,Yellow Card
33,away,58,Substitution
33,away,58,Substitution
33,away,58,Substitution
33,home,65,Goal
33,away,68,Yellow Card
33,home,70,Goal
33,away,74,Substitution
33,away,74,Substitution
33,away,76,Yellow Card
33,home,77,Substitution
33,home,77,Substitution
33,home,81,Substitution
33,home,81,Substitution
33,home,83,Yellow Card
33,home,86,Yellow Card
33,home,89,Substitution
33,away,92,Goal
33,home,95,Yellow Card
33,home,98,Yellow Card
34,home,4,Goal
34,away,16,Goal
34,away,28,Yellow Card
34,away,41,Yellow Card
34,home,43,Yellow Card
34,away,47,Goal
34,home,45,Substitution
34,home,45,Substitution
34,away,54,Goal
34,home,57,Yellow Card
34,home,60,Substitution
34,away,63,Goal
34,away,66,Goal
34,home,68,Substitution
34,away,68,Substitution
34,away,68,Substitution
34,away,72,Substitution
34,home,74,Yellow Card
34,home,74,Substitution
34,away,81,Yellow Card
34,away,86,Substitution
34,away,86,Substitution
34,home,91,Yellow Card
34,home,94,Goal
35,home,31,Yellow Card
35,home,36,Yellow Card
35,away,41,Yellow Card
35,home,43,Yellow Card
35,away,47,Substitution
35,away,48,Goal
35,away,61,Yellow Card
35,home,62,Substitution
35,home,62,Substitution
35,away,65,Substitution
35,away,72,Substitution
35,away,72,Substitution
35,away,73,Substitution
35,home,77,Substitution
35,home,77,Substitution
35,away,86,Yellow Card
35,away,98,Yellow Card
36,away,24,Yellow Card
36,away,27,Yellow Card
36,home,52,Yellow Card
36,away,55,Yellow Card
36,home,56,Goal
36,away,60,Substitution
36,away,65,Goal
36,home,71,Substitution
36,away,73,Substitution
36,home,78,Goal
36,away,81,Substitution
36,away,82,Substitution
36,home,84,Goal
36,home,90,Substitution
36,away,96,Goal
37,home,3,Goal
37,away,19,Substitution
37,home,22,Own Goal
37,away,26,Yellow Card
37,home,55,Goal
37,home,64,Substitution
37,home,65,Substitution
37,home,65,Substitution
37,away,65,Substitution
37,home,71,Substitution
37,away,72,Substitution
37,away,73,Substitution
37,home,87,Substitution
38,away,37,Goal
38,home,71,Substitution
38,home,71,Substitution
38,home,71,Substitution
38,away,72,Substitution
38,home,78,Substitution
38,away,80,Substitution
38,away,81,Yellow Card
38,home,84,Substitution
38,away,85,Goal
38,home,87,Yellow Card
38,away,91,Substitution
38,home,92,Goal
39,away,16,Substitution
39,home,31,Goal
39,away,33,Goal
39,home,41,Yellow Card
39,away,43,Yellow Card
39,away,48,Yellow Card
39,home,50,Goal
39,away,54,Yellow Card
39,home,58,Goal
39,away,69,Yellow Card
39,home,70,label.penalty.scored
39,away,73,Substitution
39,away,73,Substitution
39,home,76,Substitution
39,home,76,Substitution
39,home,78,Yellow Card
39,away,81,Substitution
39,away,81,Substitution
39,home,84,Substitution
39,home,90,Substitution
39,home,90,Substitution
39,home,95,Goal
40,away,9,Yellow Card
40,away,14,Goal
40,home,33,Goal
40,home,48,Own Goal
40,home,49,Yellow Card
40,away,55,Goal
40,home,68,Substitution
40,home,68,Substitution
40,away,73,Yellow Card
40,home,75,Substitution
40,away,75,Substitution
40,away,91,Substitution
41,home,17,Yellow Card
41,away,17,Yellow Card
41,away,25,Substitution
41,home,49,Yellow Card
41,away,47,Goal
41,away,53,Yellow Card
41,home,57,Substitution
41,home,58,Substitution
41,home,71,Substitution
41,home,86,Yellow Card
41,home,87,Goal
41,away,90,Substitution
41,home,98,label.penalty.scored
41,away,98,Yellow Card
41,away,99,Substitution
41,home,100,Substitution
41,home,101,Goal
41,home,104,Yellow Card
41,home,105,Yellow Card
42,away,4,Yellow Card
42,away,41,Yellow Card
42,home,62,Yellow Card
42,home,63,Substitution
42,away,63,Substitution
42,home,73,Substitution
42,home,74,Substitution
42,away,76,Yellow Card
42,away,80,Yellow Card
42,away,80,Substitution
42,away,81,Substitution
42,home,89,Substitution
42,away,95,Yellow Card
43,away,24,Substitution
43,home,47,Yellow Card
43,away,47,Yellow Card
43,home,66,Substitution
43,away,66,Substitution
43,away,69,Goal
43,home,80,Substitution
43,away,80,Substitution
43,away,80,Substitution
43,home,87,Substitution
43,home,88,Substitution
44,away,27,Yellow Card
44,away,37,Yellow Card
44,home,40,Yellow Card
44,home,44,Yellow Card
44,home,62,Substitution
44,home,62,Substitution
44,home,65,Goal
44,away,74,Substitution
44,away,74,Substitution
44,away,74,Substitution
44,away,74,Substitution
44,home,81,Substitution
44,home,81,Substitution
44,away,81,Substitution
44,home,91,Substitution
45,away,4,Yellow Card
45,away,20,Goal
45,away,24,Yellow Card
45,home,48,Yellow Card
45,away,53,Goal
45,home,64,Substitution
45,home,64,Substitution
45,away,64,Substitution
45,away,64,Substitution
45,away,71,Goal
45,home,73,Goal
45,away,77,Substitution
45,away,77,Substitution
45,home,85,Substitution
45,home,85,Substitution
45,home,85,Substitution
45,away,85,Substitution
45,home,92,Yellow Card
46,away,33,Yellow Card
46,away,42,Yellow Card
46,away,42,Substitution
46,away,59,Yellow Card
46,home,64,label.penalty.scored
46,away,64,Yellow Card
46,away,72,Substitution
46,away,72,Substitution
46,away,72,Substitution
46,away,82,Substitution
46,home,83,Substitution
46,away,85,Yellow Card
46,home,95,Yellow Card
46,home,95,Yellow Card
46,home,97,Yellow Card
47,away,11,Yellow Card
47,home,32,Yellow Card
47,home,34,Yellow Card
47,away,41,Goal
47,home,53,Substitution
47,home,61,Goal
47,away,63,Substitution
47,away,63,Substitution
47,home,71,Substitution
47,home,71,Substitution
47,away,76,Substitution
47,away,87,Substitution
47,home,88,Substitution
47,away,94,Red Card
47,away,95,Yellow Card
47,away,99,Yellow Card
48,away,29,Yellow Card
48,away,41,Yellow Card
48,away,45,Yellow Card
48,home,48,Yellow Card
48,away,56,Yellow Card
48,away,63,Yellow Card
48,home,66,Yellow Card
48,home,69,Yellow Card
48,away,70,Substitution
48,away,73,Goal
48,home,80,Substitution
48,home,80,Substitution
48,home,80,Substitution
48,away,81,Substitution
48,home,86,Yellow Card
